N,P,K,pH,EC,OC,S,Zn,Fe,Cu,Mn,B,OM,Fertility
138.0,8.6,560.0,7.46,0.62,0.7,5.9,0.24,0.31,0.77,8.71,0.11,1.204,0.0
213.0,7.5,338.0,7.62,0.75,1.06,3.2347491740244907,0.3,0.86,1.54,2.89,0.8285518175661483,1.8232,0.0
163.0,9.6,718.0,7.59,0.51,1.11,14.3,0.3,0.86,1.57,2.7,0.7080357930536959,1.9092,0.0
157.0,6.8,475.0,7.64,0.58,0.94,3.258096538021482,0.34,0.54,1.53,2.65,0.598836501088704,1.6168,0.0
270.0,9.9,444.0,7.63,0.4,0.86,11.8,0.25,0.76,1.69,2.43,0.8153648132841944,1.4792,1.0
220.0,8.6,444.0,7.43,0.65,0.72,11.7,0.37,0.66,0.9,2.19,0.598836501088704,1.2384,0.0
220.0,7.2,222.0,7.62,0.43,0.81,7.4,0.34,0.69,1.05,2.0,0.6312717768418578,1.3932,0.0
207.0,7.0,401.0,7.63,0.59,0.69,7.6,0.32,0.68,0.62,2.43,0.5187937934151675,1.1868,0.0
333.0,14.9,422.0,2.1114245875328868,0.48,0.68,8.45,0.51,3.32,1.08,9.21,0.32,2.0124,2.0
289.0,8.6,560.0,7.58,0.44,0.67,7.3,0.63,0.66,0.94,2.43,0.5822156198526637,1.1524,1.0
138.0,8.1,739.0,7.55,0.33,0.78,9.0,0.69,0.41,1.15,2.75,0.6931471805599453,1.3416,0.0
151.0,8.1,549.0,7.59,0.45,0.97,9.6,0.71,0.38,1.33,2.79,0.8796267475025636,1.6684,1.0
144.0,7.2,306.0,7.53,0.73,0.89,9.2,0.63,0.47,1.03,2.79,0.8671004876833833,1.5308,0.0
138.0,5.3,444.0,7.68,0.6,0.78,9.7,0.73,0.36,1.32,3.32,0.7514160886839212,1.3416,2.0
144.0,8.3,549.0,7.45,0.53,0.81,10.2,0.51,0.56,1.26,2.9,0.8285518175661483,1.3932,0.0
201.0,7.7,676.0,7.39,0.77,0.72,9.7,0.58,0.47,1.02,3.77,0.9400072584914712,1.2384,1.0
182.0,7.5,718.0,7.47,0.34,0.67,10.6,-0.2613647641344075,0.41,1.28,3.04,1.0260415958332743,1.1524,0.0
238.0,7.5,771.0,7.38,0.88,0.75,11.0,0.46,0.38,1.16,2.96,0.27763173659827955,1.29,0.0
270.0,8.1,655.0,7.45,0.55,0.67,10.2,0.28,0.44,1.26,7.75,0.9400072584914712,1.1524,1.0
213.0,6.1,803.0,7.38,0.78,0.61,10.5,0.3,0.49,0.66,7.74,0.6151856390902335,1.0492,0.0
245.0,8.1,560.0,7.31,0.63,0.78,11.6,0.29,0.43,0.57,7.73,0.74,1.3416,0.0
282.0,8.3,454.0,7.43,0.62,0.75,11.0,0.32,0.5,0.81,4.99,0.9745596399981308,1.29,1.0
213.0,8.3,676.0,7.36,0.51,0.69,3.1612467120315646,0.28,0.93,1.04,2.17,0.6780335427498971,1.1868,0.0
207.0,9.4,4.844187086458591,7.62,0.68,0.75,3.3032169733019514,0.28,0.72,1.04,2.43,0.94,1.29,0.0
307.0,8.3,2.3978952727983707,7.49,0.84,0.69,2.760009940032921,0.26,0.57,0.73,2.13,0.9042181506398859,1.1868,1.0
207.0,7.2,496.0,7.55,0.61,0.64,3.265759410767051,0.24,0.47,1.15,1.99,0.6626879730752367,1.1008,0.0
201.0,5.5,359.0,7.44,0.76,0.78,3.258096538021482,0.18,0.83,0.71,2.24,0.6471032420585384,1.3416,0.0
364.0,7.5,507.0,7.63,0.52,0.69,14.6,0.23,1.19,0.39,2.16,1.0367368849500223,1.1868,1.0
220.0,8.3,560.0,7.42,0.63,0.61,2.760009940032921,0.19,1.08,0.34,1.77,0.74,1.0492,0.0
245.0,8.3,560.0,7.58,0.74,0.83,8.2,0.32,0.96,1.57,2.67,0.59,1.4276,0.0
